,SEMESTRE,N_VICTIMAS_SEMESTRE,POBLACION_ANUAL,SEMESTRE_ANTERIOR,N_VICTIMAS_SEMESTRE_ANTERIOR,POBLACION_ANUAL_ANTERIOR,KPI_1
0,2016-2,38,3059122.0,2016-1,48,3059122.0,20.83
1,2017-1,80,3063728.0,2016-2,38,3059122.0,-110.21
2,2017-2,72,3063728.0,2017-1,80,3063728.0,10.0
3,2018-1,76,3068043.0,2017-2,72,3063728.0,-5.41
4,2018-2,85,3068043.0,2018-1,76,3068043.0,-11.84
5,2019-1,59,3072029.0,2018-2,85,3068043.0,30.68
6,2019-2,47,3072029.0,2019-1,59,3072029.0,20.34
7,2020-1,31,3075646.0,2019-2,47,3072029.0,34.12
8,2020-2,56,3075646.0,2020-1,31,3075646.0,-80.65
9,2021-1,55,3078836.0,2020-2,56,3075646.0,1.89
10,2021-2,42,3078836.0,2021-1,55,3078836.0,23.64
