,ID_hecho,SEXO,EDAD
0,2016-0001,MASCULINO,19
1,2016-0002,MASCULINO,70
2,2016-0003,MASCULINO,30
4,2016-0005,MASCULINO,29
5,2016-0008,MASCULINO,30
6,2016-0009,MASCULINO,29
7,2016-0010,MASCULINO,18
8,2016-0012,MASCULINO,22
9,2016-0013,MASCULINO,16
10,2016-0015,FEMENINO,16
11,2016-0016,FEMENINO,19
12,2016-0017,MASCULINO,59
13,2016-0019,FEMENINO,65
14,2016-0020,MASCULINO,59
15,2016-0021,MASCULINO,34
17,2016-0025,MASCULINO,34
18,2016-0026,MASCULINO,30
20,2016-0028,MASCULINO,50
21,2016-0029,MASCULINO,38
23,2016-0034,MASCULINO,52
24,2016-0035,MASCULINO,34
25,2016-0036,MASCULINO,36
26,2016-0037,MASCULINO,20
27,2016-0038,MASCULINO,29
28,2016-0039,MASCULINO,20
29,2016-0041,MASCULINO,54
30,2016-0041,MASCULINO,SD
31,2016-0043,FEMENINO,56
32,2016-0044,MASCULINO,24
34,2016-0047,MASCULINO,41
37,2016-0050,MASCULINO,78
38,2016-0051,MASCULINO,36
40,2016-0053,MASCULINO,38
41,2016-0054,MASCULINO,30
42,2016-0055,MASCULINO,79
43,2016-0056,MASCULINO,26
44,2016-0058,FEMENINO,57
45,2016-0059,MASCULINO,37
47,2016-0065,MASCULINO,20
50,2016-0069,MASCULINO,30
53,2016-0075,MASCULINO,42
54,2016-0076,FEMENINO,53
60,2016-0082,MASCULINO,87
61,2016-0083,FEMENINO,76
62,2016-0084,MASCULINO,57
64,2016-0086,MASCULINO,75
65,2016-0087,MASCULINO,23
66,2016-0088,FEMENINO,70
67,2016-0089,MASCULINO,35
68,2016-0090,MASCULINO,60
69,2016-0092,MASCULINO,24
70,2016-0093,MASCULINO,35
71,2016-0095,MASCULINO,29
73,2016-0097,MASCULINO,80
76,2016-0100,MASCULINO,57
79,2016-0104,MASCULINO,21
80,2016-0105,MASCULINO,19
83,2016-0109,FEMENINO,53
85,2016-0111,MASCULINO,27
86,2016-0112,MASCULINO,24
88,2016-0114,FEMENINO,55
90,2016-0116,MASCULINO,30
92,2016-0118,MASCULINO,27
94,2016-0122,MASCULINO,49
101,2016-0128,FEMENINO,81
102,2016-0130,MASCULINO,29
104,2016-0132,MASCULINO,30
105,2016-0133,MASCULINO,41
106,2016-0134,MASCULINO,25
107,2016-0135,MASCULINO,29
113,2016-0142,MASCULINO,46
116,2016-0145,MASCULINO,39
118,2016-0147,MASCULINO,55
120,2016-0150,MASCULINO,41
122,2016-0152,MASCULINO,42
123,2016-0153,FEMENINO,83
126,2016-0156,MASCULINO,23
129,2016-0160,MASCULINO,29
130,2016-0161,MASCULINO,50
131,2016-0162,MASCULINO,38
135,2016-0168,MASCULINO,43
136,2016-0169,MASCULINO,24
137,2016-0170,MASCULINO,21
139,2016-0172,MASCULINO,38
146,2017-0001,MASCULINO,18
147,2017-0003,MASCULINO,33
148,2017-0007,MASCULINO,48
149,2017-0008,MASCULINO,29
150,2017-0009,MASCULINO,36
151,2017-0010,MASCULINO,23
152,2017-0011,FEMENINO,29
153,2017-0012,MASCULINO,30
154,2017-0013,MASCULINO,4
155,2017-0014,FEMENINO,22
156,2017-0015,MASCULINO,82
157,2017-0016,MASCULINO,27
158,2017-0017,MASCULINO,32
159,2017-0018,MASCULINO,30
160,2017-0021,MASCULINO,43
161,2017-0024,MASCULINO,39
162,2017-0025,MASCULINO,23
163,2017-0026,FEMENINO,23
164,2017-0026,MASCULINO,19
165,2017-0027,MASCULINO,SD
166,2017-0028,MASCULINO,87
167,2017-0029,MASCULINO,34
